vogal, altura, tonicidade, normal, nasal
a    , aguda , forte     , á     , 
a    , aguda , fraca     , a     , 
a    , grave , forte     , ú     , û
a    , grave , fraca     , u     , ù
e    , aguda , forte     , ǽ     , 
e    , aguda , fraca     , æ     , 
e    , grave , forte     , é     , 
e    , grave , fraca     , e     , 
i    , aguda , forte     , í     , î
i    , aguda , fraca     , i     , ì
y    , aguda , fraca     , y     , ỳ
o    , aguda , forte     , ć     , 
o    , aguda , fraca     , c     , 
o    , grave , forte     , ḉ     , 
o    , grave , fraca     , ç     , 
u    , aguda , forte     , ó     , ô
u    , aguda , fraca     , o     , ò
v    , aguda , fraca     , w     , ẁ
ł    , aguda , fraca     , ł     , 

Nosso Senhor Jesus Cristo 22
Nossa Senhora das Dores   20

Nosu Seỹohr Jezús Cristu  23
Nosa Seỹora das Doris     19

Ncso Seỳçhr Jezós Kristo  24
Ncsa Seỳcra das Dçris     20

NOSSO SENHOR JESUS CRISTO
NOSSA SENHORA DAS DORES

NOSU SEỸOHR JEZÚS CRISTU
NOSA SEỸORA DAS DORIS

NCSO SEỲÇHR JEZÓS KRISTO
NCSA SEỲCRA DAS DÇRIS
